"Philippine Exports by Commodity Group (GRT), 2000-2025"

"Commodity";"Country Of Destination";"2020 Quantity";"2020 FOB";"2021 Quantity";"2021 FOB";"2022 Quantity";"2022 FOB";"2023 Quantity";"2023 FOB";"2024 Quantity";"2024 FOB";"2025 Quantity";"2025 FOB"
"Processed Tropical Fruits";"Spanish Africa, N.E.S.";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Tanzania, United Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Tunisia";43831.15;112124.00;42659.07;128219.00;54892.59;138586.00;54110.38;119387.00;94532.00;214378.00;71280.00;162690.00
"Processed Tropical Fruits";"Bosnia And Herzegovina";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Croatia";55962.53;125370.00;84558.69;214718.00;115477.15;271800.00;66379.23;142350.00;72155.05;160788.00;95780.59;227225.00
"Processed Tropical Fruits";"Estonia";11056.43;24375.00;11050.00;30956.00;24820.00;42956.00;125786.50;258490.00;86280.00;157122.00;23478.00;56794.00
"Processed Tropical Fruits";"Iran, Islamic Rep. Of";39424.00;128128.00;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Lithuania";285179.90;533874.00;175969.19;509020.00;146675.16;352572.00;207494.92;418347.00;359124.87;806399.00;157867.88;383959.00
"Processed Tropical Fruits";"Mozambique";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Namibia";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Nauru, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Zimbabwe (Rhodesia)";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Samoa (Western Samoa)";..;..;..;..;13718.00;9301.00;3272.20;3631.00;9212.00;5939.00;700.00;444.00
"Processed Tropical Fruits";"Benin, People'S Rep. Of (Dahomey)";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Congo, Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Cuba";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"French Guiana";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Lesotho";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Martinique";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"St. Helena";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Libyan Arab Jamahiriya";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Andorra";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Cayman Islands";..;..;..;..;..;..;..;..;..;..;..;..
