Commodity,Country Of Destination,Year,Quantity,FOB,source_file
Activated Carbon,"Hong Kong, China",2022,38357.31,36894.0,PhilippineExports(2022-2023).csv
Activated Carbon,"Hong Kong, China",2023,96180.69,95187.0,PhilippineExports(2022-2023).csv
Activated Carbon,"Hong Kong, China",2025,990.0,3705.0,PhilippineExports(2024-2025).csv
Activated Carbon,India,2021,35280.18,95865.0,PhilippineExports(2020-2021).csv
Activated Carbon,India,2022,3200.0,20093.0,PhilippineExports(2022-2023).csv
Activated Carbon,India,2023,25870.94,53760.0,PhilippineExports(2022-2023).csv
Activated Carbon,Indonesia,2021,3450131.37,6484999.0,PhilippineExports(2020-2021).csv
Activated Carbon,Indonesia,2022,4746834.44,10657822.0,PhilippineExports(2022-2023).csv
Activated Carbon,Indonesia,2023,4437537.62,8356920.0,PhilippineExports(2022-2023).csv
Activated Carbon,Indonesia,2024,4518006.0,8306299.0,PhilippineExports(2024-2025).csv
Activated Carbon,Indonesia,2025,5000916.0,13717347.0,PhilippineExports(2024-2025).csv
Activated Carbon,Iraq,2024,21735.0,17695.0,PhilippineExports(2024-2025).csv
Activated Carbon,Israel,2022,20000.0,41600.0,PhilippineExports(2022-2023).csv
Activated Carbon,Israel,2023,110000.0,197855.0,PhilippineExports(2022-2023).csv
Activated Carbon,Israel,2024,67837.0,112871.0,PhilippineExports(2024-2025).csv
Activated Carbon,Israel,2025,22570.0,44440.0,PhilippineExports(2024-2025).csv
Activated Carbon,Italy,2021,914828.84,1550880.0,PhilippineExports(2020-2021).csv
Activated Carbon,Italy,2022,765580.28,1932595.0,PhilippineExports(2022-2023).csv
Activated Carbon,Italy,2023,587911.52,1245281.0,PhilippineExports(2022-2023).csv
Activated Carbon,Italy,2024,822935.0,1687914.0,PhilippineExports(2024-2025).csv
Activated Carbon,Italy,2025,1249025.0,3435483.0,PhilippineExports(2024-2025).csv
Activated Carbon,Japan,2021,12067660.84,29303069.0,PhilippineExports(2020-2021).csv
Activated Carbon,Japan,2022,15388747.39,33411254.0,PhilippineExports(2022-2023).csv
Activated Carbon,Japan,2023,10873157.18,20205132.0,PhilippineExports(2022-2023).csv
Activated Carbon,Japan,2024,11737666.21,23308065.0,PhilippineExports(2024-2025).csv
Activated Carbon,Japan,2025,11745766.3,28400047.0,PhilippineExports(2024-2025).csv
Activated Carbon,Kenya,2024,20080.0,20000.0,PhilippineExports(2024-2025).csv
Activated Carbon,Kenya,2025,223321.0,469051.0,PhilippineExports(2024-2025).csv
Activated Carbon,Kuwait,2021,22567.59,2269.0,PhilippineExports(2020-2021).csv
Activated Carbon,Latvia (Latvian Soviet Socialist Rep.),2025,67920.0,146520.0,PhilippineExports(2024-2025).csv
Activated Carbon,Lebanon,2024,20880.0,32680.0,PhilippineExports(2024-2025).csv
Activated Carbon,Lithuania,2021,129403.44,246400.0,PhilippineExports(2020-2021).csv
Activated Carbon,Lithuania,2023,21541.94,49537.0,PhilippineExports(2022-2023).csv
Activated Carbon,Lithuania,2025,22557.0,47120.0,PhilippineExports(2024-2025).csv
Activated Carbon,Malaysia,2021,51503.11,84424.0,PhilippineExports(2020-2021).csv
Activated Carbon,Malaysia,2024,176653.0,51974.0,PhilippineExports(2024-2025).csv
Activated Carbon,Malaysia,2025,106534.4,119403.0,PhilippineExports(2024-2025).csv
Activated Carbon,Mali (West Africa),2021,88000.0,167200.0,PhilippineExports(2020-2021).csv
Activated Carbon,Mali (West Africa),2022,66000.0,178200.0,PhilippineExports(2022-2023).csv
Activated Carbon,Mexico,2021,42000.0,83972.0,PhilippineExports(2020-2021).csv
Activated Carbon,Mexico,2022,611517.56,1144924.0,PhilippineExports(2022-2023).csv
Activated Carbon,Mexico,2023,187063.87,380203.0,PhilippineExports(2022-2023).csv
Activated Carbon,Mexico,2024,135342.0,257736.0,PhilippineExports(2024-2025).csv
Activated Carbon,Mexico,2025,248127.0,827082.0,PhilippineExports(2024-2025).csv
Activated Carbon,"Moldova, Republic Of",2022,13000.0,33150.0,PhilippineExports(2022-2023).csv
Activated Carbon,Mozambique,2025,13650.0,32075.0,PhilippineExports(2024-2025).csv
Activated Carbon,"Myanmar, Union Of (Burma)",2021,10000.0,19965.0,PhilippineExports(2020-2021).csv
Activated Carbon,Netherlands,2021,728804.13,1479871.0,PhilippineExports(2020-2021).csv
Activated Carbon,Netherlands,2022,613411.63,1124271.0,PhilippineExports(2022-2023).csv
Activated Carbon,Netherlands,2023,1398794.86,1283247.0,PhilippineExports(2022-2023).csv
Activated Carbon,Netherlands,2024,1013598.0,1580260.0,PhilippineExports(2024-2025).csv
Activated Carbon,Netherlands,2025,349461.0,535383.0,PhilippineExports(2024-2025).csv
Activated Carbon,New Zealand,2023,66000.0,136510.0,PhilippineExports(2022-2023).csv
Activated Carbon,Oman,2023,60006.92,64588.0,PhilippineExports(2022-2023).csv
Activated Carbon,"Pakistan, Islamic Rep. Of",2025,14924.0,33879.0,PhilippineExports(2024-2025).csv
Activated Carbon,Papua New Guinea,2021,38326.25,80800.0,PhilippineExports(2020-2021).csv
Activated Carbon,People'S Republic Of China,2021,4388323.71,11879064.0,PhilippineExports(2020-2021).csv
Activated Carbon,People'S Republic Of China,2022,4892589.43,13187619.0,PhilippineExports(2022-2023).csv
Activated Carbon,People'S Republic Of China,2023,8959695.32,12338652.0,PhilippineExports(2022-2023).csv
Activated Carbon,People'S Republic Of China,2024,10555238.6,12956847.0,PhilippineExports(2024-2025).csv
Activated Carbon,People'S Republic Of China,2025,8432756.82,16753739.0,PhilippineExports(2024-2025).csv
Activated Carbon,Peru,2021,1058416.39,1734414.0,PhilippineExports(2020-2021).csv
Activated Carbon,Peru,2022,1028167.0,1793220.0,PhilippineExports(2022-2023).csv
Activated Carbon,Peru,2023,1210491.53,1711036.0,PhilippineExports(2022-2023).csv
Activated Carbon,Peru,2024,972202.0,990625.0,PhilippineExports(2024-2025).csv
Activated Carbon,Peru,2025,1450248.0,2397200.0,PhilippineExports(2024-2025).csv
Activated Carbon,Poland,2023,164433.23,345529.0,PhilippineExports(2022-2023).csv
Activated Carbon,Republic Of Korea,2021,5150222.93,7209481.0,PhilippineExports(2020-2021).csv
Activated Carbon,Republic Of Korea,2022,6844238.23,9294236.0,PhilippineExports(2022-2023).csv
Activated Carbon,Republic Of Korea,2023,6287334.67,7576666.0,PhilippineExports(2022-2023).csv
Activated Carbon,Republic Of Korea,2024,7093959.57,8323941.0,PhilippineExports(2024-2025).csv
Activated Carbon,Republic Of Korea,2025,6223019.0,7742485.0,PhilippineExports(2024-2025).csv
Activated Carbon,Romania,2021,20900.0,42779.0,PhilippineExports(2020-2021).csv
Activated Carbon,Romania,2024,131712.0,269438.0,PhilippineExports(2024-2025).csv
Activated Carbon,Romania,2025,157542.0,490133.0,PhilippineExports(2024-2025).csv
Activated Carbon,Russian Federation,2021,2017490.86,3570219.0,PhilippineExports(2020-2021).csv
Activated Carbon,Russian Federation,2022,607703.33,1000814.0,PhilippineExports(2022-2023).csv
Activated Carbon,Russian Federation,2023,279392.82,446180.0,PhilippineExports(2022-2023).csv
Activated Carbon,Russian Federation,2024,1264160.0,1715323.0,PhilippineExports(2024-2025).csv
Activated Carbon,Russian Federation,2025,782400.0,1185121.0,PhilippineExports(2024-2025).csv
Activated Carbon,Saudi Arabia,2021,145000.0,315375.0,PhilippineExports(2020-2021).csv
Activated Carbon,Saudi Arabia,2024,10360.0,15200.0,PhilippineExports(2024-2025).csv
Activated Carbon,Saudi Arabia,2025,22386.0,48184.0,PhilippineExports(2024-2025).csv
Activated Carbon,Senegal,2022,22000.0,59400.0,PhilippineExports(2022-2023).csv
Activated Carbon,Senegal,2023,41449.45,118800.0,PhilippineExports(2022-2023).csv
Activated Carbon,Senegal,2024,135875.0,237600.0,PhilippineExports(2024-2025).csv
Activated Carbon,Senegal,2025,22522.0,79200.0,PhilippineExports(2024-2025).csv
Activated Carbon,Singapore,2021,108482.11,303181.0,PhilippineExports(2020-2021).csv
Activated Carbon,Singapore,2022,69128.88,201675.0,PhilippineExports(2022-2023).csv
Activated Carbon,Singapore,2023,126548.6,228282.0,PhilippineExports(2022-2023).csv
